AssetType,Year,Growth
WTI Crude ,2012,-1.00%
WTI Crude ,2013,4.00%
WTI Crude ,2014,-4.90%
WTI Crude ,2015,-47.70%
WTI Crude ,2016,-11.30%
APSP crude oil ($/bbl),1980,0.00%
APSP crude oil ($/bbl),1981,-4.70%
APSP crude oil ($/bbl),1982,-7.30%
APSP crude oil ($/bbl),1983,-6.60%
APSP crude oil ($/bbl),1984,-3.10%
APSP crude oil ($/bbl),1985,-4.10%
APSP crude oil ($/bbl),1986,-48.20%
APSP crude oil ($/bbl),1987,28.40%
APSP crude oil ($/bbl),1988,-18.80%
APSP crude oil ($/bbl),1989,21.20%
APSP crude oil ($/bbl),1990,28.40%
APSP crude oil ($/bbl),1991,-15.70%
APSP crude oil ($/bbl),1992,-1.70%
APSP crude oil ($/bbl),1993,-11.80%
APSP crude oil ($/bbl),1994,-5.00%
APSP crude oil ($/bbl),1995,7.90%
APSP crude oil ($/bbl),1996,18.40%
APSP crude oil ($/bbl),1997,-5.40%
APSP crude oil ($/bbl),1998,-32.10%
APSP crude oil ($/bbl),1999,37.50%
APSP crude oil ($/bbl),2000,57.00%
APSP crude oil ($/bbl),2001,-13.80%
APSP crude oil ($/bbl),2002,2.50%
APSP crude oil ($/bbl),2003,15.80%
APSP crude oil ($/bbl),2004,30.70%
APSP crude oil ($/bbl),2005,41.30%
APSP crude oil ($/bbl),2006,20.50%
APSP crude oil ($/bbl),2007,10.70%
APSP crude oil ($/bbl),2008,36.40%
APSP crude oil ($/bbl),2009,-36.30%
APSP crude oil ($/bbl),2010,27.90%
APSP crude oil ($/bbl),2011,31.60%
APSP crude oil ($/bbl),2012,1.00%
APSP crude oil ($/bbl),2013,-0.90%
APSP crude oil ($/bbl),2014,-7.50%
APSP crude oil ($/bbl),2015,-47.20%
APSP crude oil ($/bbl),2016,-15.70%
Dubai Crude ,1980,0.00%
Dubai Crude ,1981,-4.30%
Dubai Crude ,1982,-7.40%
Dubai Crude ,1983,-10.40%
Dubai Crude ,1984,-3.40%
Dubai Crude ,1985,-3.60%
Dubai Crude ,1986,-50.70%
Dubai Crude ,1987,29.90%
Dubai Crude ,1988,-21.20%
Dubai Crude ,1989,18.10%
Dubai Crude ,1990,31.40%
Dubai Crude ,1991,-19.90%
Dubai Crude ,1992,3.20%
Dubai Crude ,1993,-13.00%
Dubai Crude ,1994,-0.50%
Dubai Crude ,1995,8.70%
Dubai Crude ,1996,14.90%
Dubai Crude ,1997,-2.30%
Dubai Crude ,1998,-33.20%
Dubai Crude ,1999,41.20%
Dubai Crude ,2000,52.80%
Dubai Crude ,2001,-12.90%
Dubai Crude ,2002,4.50%
Dubai Crude ,2003,12.60%
Dubai Crude ,2004,25.10%
Dubai Crude ,2005,47.10%
Dubai Crude ,2006,24.90%
