AssetType,Year,Growth
Beverages index ,2005,18.10%
Beverages index ,2006,8.40%
Beverages index ,2007,13.80%
Beverages index ,2008,23.30%
Beverages index ,2009,1.60%
Beverages index ,2010,14.10%
Beverages index ,2011,16.60%
Beverages index ,2012,-18.60%
Beverages index ,2013,-11.90%
Beverages index ,2014,20.70%
Beverages index ,2015,-3.10%
Beverages index ,2016,-5.00%
Wheat,1980,0.00%
Wheat,1981,1.30%
Wheat,1982,-8.30%
Wheat,1983,-1.80%
Wheat,1984,-3.20%
Wheat,1985,-10.80%
Wheat,1986,-15.40%
Wheat,1987,-1.80%
Wheat,1988,28.60%
Wheat,1989,16.60%
Wheat,1990,-19.90%
Wheat,1991,-5.10%
Wheat,1992,17.50%
Wheat,1993,-7.20%
Wheat,1994,6.80%
Wheat,1995,18.10%
Wheat,1996,11.50%
Wheat,1997,-24.20%
Wheat,1998,-23.40%
Wheat,1999,-14.20%
Wheat,2000,2.50%
Wheat,2001,5.60%
Wheat,2002,24.20%
Wheat,2003,-0.50%
Wheat,2004,1.40%
Wheat,2005,-2.70%
Wheat,2006,29.80%
Wheat,2007,34.60%
Wheat,2008,26.50%
Wheat,2009,-33.70%
Wheat,2010,2.30%
Wheat,2011,44.00%
Wheat,2012,-1.40%
Wheat,2013,-3.80%
Wheat,2014,-8.80%
Wheat,2015,-23.50%
Wheat,2016,-22.90%
Beef ,1980,0.00%
Beef ,1981,-10.40%
Beef ,1982,-3.30%
Beef ,1983,2.10%
Beef ,1984,-6.80%
Beef ,1985,-5.30%
Beef ,1986,-2.70%
Beef ,1987,13.90%
Beef ,1988,5.50%
Beef ,1989,2.00%
Beef ,1990,-0.20%
Beef ,1991,3.90%
Beef ,1992,-7.90%
Beef ,1993,6.60%
Beef ,1994,-10.90%
Beef ,1995,-18.30%
Beef ,1996,-6.40%
Beef ,1997,4.00%
Beef ,1998,-7.00%
Beef ,1999,6.20%
Beef ,2000,5.60%
Beef ,2001,10.00%
Beef ,2002,-1.20%
Beef ,2003,-5.90%
Beef ,2004,26.90%
Beef ,2005,4.20%
Beef ,2006,-2.60%
Beef ,2007,2.10%
Beef ,2008,2.60%
Beef ,2009,-1.20%
Beef ,2010,27.50%
Beef ,2011,20.10%
Beef ,2012,2.60%
Beef ,2013,-2.30%
Beef ,2014,22.00%
Beef ,2015,-10.50%
Beef ,2016,-11.10%
Hard Logs,1980,0.00%
Hard Logs,1981,-28.20%
Hard Logs,1982,0.30%
Hard Logs,1983,-10.50%
Hard Logs,1984,24.20%
Hard Logs,1985,-27.40%
Hard Logs,1986,18.30%
Hard Logs,1987,72.10%
Hard Logs,1988,-0.20%
Hard Logs,1989,0.10%
Hard Logs,1990,-4.20%
Hard Logs,1991,12.10%
Hard Logs,1992,9.50%
Hard Logs,1993,97.80%
Hard Logs,1994,-18.70%
Hard Logs,1995,-18.50%
Hard Logs,1996,-2.10%
Hard Logs,1997,-5.70%
Hard Logs,1998,-31.50%
Hard Logs,1999,14.80%
Hard Logs,2000,1.60%
Hard Logs,2001,-15.90%
Hard Logs,2002,1.60%
Hard Logs,2003,15.20%
Hard Logs,2004,5.40%
Hard Logs,2005,3.00%
Hard Logs,2006,17.90%
Hard Logs,2007,11.90%
Hard Logs,2008,9.10%
Hard Logs,2009,-1.70%
Hard Logs,2010,-3.10%
Hard Logs,2011,40.40%
Hard Logs,2012,-7.70%
Hard Logs,2013,-15.30%
Hard Logs,2014,-7.70%
Hard Logs,2015,-12.80%
Hard Logs,2016,11.50%
Soft Sawnwood,1980,0.00%
Soft Sawnwood,1981,-10.00%
Soft Sawnwood,1982,27.50%
Soft Sawnwood,1983,-6.70%
Soft Sawnwood,1984,-3.10%
Soft Sawnwood,1985,-0.70%
Soft Sawnwood,1986,9.70%
Soft Sawnwood,1987,7.30%
Soft Sawnwood,1988,1.50%
Soft Sawnwood,1989,13.20%
Soft Sawnwood,1990,12.00%
Soft Sawnwood,1991,4.80%
Soft Sawnwood,1992,8.50%
Soft Sawnwood,1993,18.20%
Soft Sawnwood,1994,8.00%
Soft Sawnwood,1995,0.40%
Soft Sawnwood,1996,3.10%
Soft Sawnwood,1997,-5.10%
Soft Sawnwood,1998,-4.90%
Soft Sawnwood,1999,7.40%
Soft Sawnwood,2000,-5.20%
Soft Sawnwood,2001,-0.70%
Soft Sawnwood,2002,-3.40%
Soft Sawnwood,2003,4.00%
Soft Sawnwood,2004,14.00%
Soft Sawnwood,2005,1.30%
Soft Sawnwood,2006,4.30%
Soft Sawnwood,2007,-4.80%
Soft Sawnwood,2008,-3.90%
Soft Sawnwood,2009,-7.10%
Soft Sawnwood,2010,-3.20%
Soft Sawnwood,2011,-0.30%
Soft Sawnwood,2012,1.40%
Soft Sawnwood,2013,5.80%
Soft Sawnwood,2014,2.00%
Soft Sawnwood,2015,0.50%
Soft Sawnwood,2016,-3.70%
"Tea, Kenyan ",1980,0.00%
"Tea, Kenyan ",1981,-9.40%
"Tea, Kenyan ",1982,-4.30%
"Tea, Kenyan ",1983,20.30%
"Tea, Kenyan ",1984,48.70%
"Tea, Kenyan ",1985,-42.60%
"Tea, Kenyan ",1986,-2.80%
"Tea, Kenyan ",1987,-11.50%
"Tea, Kenyan ",1988,4.80%
"Tea, Kenyan ",1989,12.40%
"Tea, Kenyan ",1990,1.00%
"Tea, Kenyan ",1991,-9.30%
"Tea, Kenyan ",1992,8.40%
"Tea, Kenyan ",1993,-7.10%
"Tea, Kenyan ",1994,-1.20%
"Tea, Kenyan ",1995,-10.50%
"Tea, Kenyan ",1996,7.90%
"Tea, Kenyan ",1997,33.90%
"Tea, Kenyan ",1998,0.60%
"Tea, Kenyan ",1999,-2.60%
"Tea, Kenyan ",2000,6.80%
"Tea, Kenyan ",2001,-20.10%
"Tea, Kenyan ",2002,-9.60%
"Tea, Kenyan ",2003,8.40%
"Tea, Kenyan ",2004,2.00%
"Tea, Kenyan ",2005,9.20%
"Tea, Kenyan ",2006,11.70%
"Tea, Kenyan ",2007,-12.30%
"Tea, Kenyan ",2008,27.20%
"Tea, Kenyan ",2009,16.50%
"Tea, Kenyan ",2010,0.90%
"Tea, Kenyan ",2011,9.30%
"Tea, Kenyan ",2012,0.80%
"Tea, Kenyan ",2013,-23.80%
"Tea, Kenyan ",2014,-10.60%
"Tea, Kenyan ",2015,43.10%
"Tea, Kenyan ",2016,-15.60%
Soybeans ,1980,0.00%
Soybeans ,1981,-1.50%
Soybeans ,1982,-15.30%
Soybeans ,1983,17.30%
Soybeans ,1984,-0.80%
Soybeans ,1985,-21.20%
Soybeans ,1986,-6.90%
Soybeans ,1987,3.50%
Soybeans ,1988,43.10%
Soybeans ,1989,-11.70%
Soybeans ,1990,-11.30%
Soybeans ,1991,-4.70%
Soybeans ,1992,0.50%
Soybeans ,1993,9.70%
Soybeans ,1994,-0.30%
Soybeans ,1995,-2.40%
Soybeans ,1996,23.90%
Soybeans ,1997,1.10%
Soybeans ,1998,-20.40%
Soybeans ,1999,-21.70%
Soybeans ,2000,4.60%
Soybeans ,2001,-7.80%
Soybeans ,2002,11.90%
Soybeans ,2003,23.50%
Soybeans ,2004,18.60%
Soybeans ,2005,-19.40%
Soybeans ,2006,-2.50%
Soybeans ,2007,45.90%
Soybeans ,2008,42.90%
Soybeans ,2009,-16.50%
Soybeans ,2010,1.70%
Soybeans ,2011,25.80%
Soybeans ,2012,11.10%
Soybeans ,2013,-3.80%
Soybeans ,2014,-11.50%
Soybeans ,2015,-24.10%
Soybeans ,2016,4.40%
Soybean Meal ,1980,0.00%
Soybean Meal ,1981,-0.20%
Soybean Meal ,1982,-13.20%
Soybean Meal ,1983,13.90%
Soybean Meal ,1984,-14.10%
Soybean Meal ,1985,-23.90%
Soybean Meal ,1986,14.80%
Soybean Meal ,1987,10.50%
Soybean Meal ,1988,40.80%
Soybean Meal ,1989,-9.90%
Soybean Meal ,1990,-17.80%
Soybean Meal ,1991,0.00%
Soybean Meal ,1992,2.10%
Soybean Meal ,1993,10.30%
Soybean Meal ,1994,-8.10%
Soybean Meal ,1995,-0.20%
Soybean Meal ,1996,34.20%
Soybean Meal ,1997,5.10%
Soybean Meal ,1998,-37.60%
Soybean Meal ,1999,-12.70%
Soybean Meal ,2000,22.70%
Soybean Meal ,2001,-3.50%
Soybean Meal ,2002,1.90%
Soybean Meal ,2003,16.70%
Soybean Meal ,2004,19.80%
Soybean Meal ,2005,-20.00%
Soybean Meal ,2006,-5.70%
Soybean Meal ,2007,35.90%
Soybean Meal ,2008,39.50%
Soybean Meal ,2009,-2.40%
Soybean Meal ,2010,-7.80%
Soybean Meal ,2011,14.40%
Soybean Meal ,2012,24.90%
Soybean Meal ,2013,0.80%
Soybean Meal ,2014,-2.20%
Soybean Meal ,2015,-24.50%
Soybean Meal ,2016,-0.70%
"Rice, Thailand ",1980,0.00%
"Rice, Thailand ",1981,11.30%
"Rice, Thailand ",1982,-39.20%
"Rice, Thailand ",1983,-5.60%
"Rice, Thailand ",1984,-8.90%
"Rice, Thailand ",1985,-13.80%
"Rice, Thailand ",1986,-10.00%
"Rice, Thailand ",1987,9.60%
"Rice, Thailand ",1988,29.30%
"Rice, Thailand ",1989,8.10%
"Rice, Thailand ",1990,-9.70%
"Rice, Thailand ",1991,8.50%
"Rice, Thailand ",1992,-8.90%
"Rice, Thailand ",1993,-11.40%
"Rice, Thailand ",1994,13.60%
"Rice, Thailand ",1995,19.10%
"Rice, Thailand ",1996,5.40%
"Rice, Thailand ",1997,-10.50%
"Rice, Thailand ",1998,1.00%
"Rice, Thailand ",1999,-18.50%
"Rice, Thailand ",2000,-18.20%
"Rice, Thailand ",2001,-15.20%
"Rice, Thailand ",2002,11.10%
"Rice, Thailand ",2003,4.00%
"Rice, Thailand ",2004,23.20%
"Rice, Thailand ",2005,17.10%
"Rice, Thailand ",2006,5.50%
"Rice, Thailand ",2007,9.50%
"Rice, Thailand ",2008,110.70%
"Rice, Thailand ",2009,-15.80%
"Rice, Thailand ",2010,-11.70%
"Rice, Thailand ",2011,6.00%
"Rice, Thailand ",2012,5.20%
"Rice, Thailand ",2013,-10.60%
"Rice, Thailand ",2014,-17.80%
"Rice, Thailand ",2015,-10.90%
"Rice, Thailand ",2016,2.20%
Palm Oil ,1980,0.00%
Palm Oil ,1981,-2.10%
Palm Oil ,1982,-22.00%
Palm Oil ,1983,12.70%
Palm Oil ,1984,45.40%
Palm Oil ,1985,-31.30%
Palm Oil ,1986,-48.70%
Palm Oil ,1987,33.30%
Palm Oil ,1988,27.60%
Palm Oil ,1989,-19.80%
Palm Oil ,1990,-17.30%
Palm Oil ,1991,17.00%
Palm Oil ,1992,16.10%
Palm Oil ,1993,-4.10%
Palm Oil ,1994,40.10%
Palm Oil ,1995,22.90%
Palm Oil ,1996,-13.10%
Palm Oil ,1997,5.00%
Palm Oil ,1998,22.50%
Palm Oil ,1999,-37.20%
Palm Oil ,2000,-30.80%
Palm Oil ,2001,-8.70%
Palm Oil ,2002,49.60%
Palm Oil ,2003,15.00%
Palm Oil ,2004,5.90%
Palm Oil ,2005,-15.40%
Palm Oil ,2006,13.40%
Palm Oil ,2007,72.50%
Palm Oil ,2008,20.00%
Palm Oil ,2009,-25.40%
Palm Oil ,2010,33.50%
Palm Oil ,2011,25.20%
Palm Oil ,2012,-12.70%
Palm Oil ,2013,-18.70%
Palm Oil ,2014,-3.20%
Palm Oil ,2015,-23.60%
Palm Oil ,2016,13.20%
Soybeans Oil ,1980,0.00%
Soybeans Oil ,1981,-7.90%
Soybeans Oil ,1982,-18.30%
Soybeans Oil ,1983,26.80%
Soybeans Oil ,1984,26.70%
Soybeans Oil ,1985,-11.80%
Soybeans Oil ,1986,-36.30%
Soybeans Oil ,1987,0.70%
Soybeans Oil ,1988,44.40%
Soybeans Oil ,1989,-14.40%
Soybeans Oil ,1990,8.50%
Soybeans Oil ,1991,-9.20%
Soybeans Oil ,1992,-3.00%
Soybeans Oil ,1993,16.10%
Soybeans Oil ,1994,19.90%
Soybeans Oil ,1995,-3.00%
Soybeans Oil ,1996,-6.90%
Soybeans Oil ,1997,-3.40%
Soybeans Oil ,1998,7.00%
Soybeans Oil ,1999,-30.20%
Soybeans Oil ,2000,-10.30%
Soybeans Oil ,2001,-1.40%
Soybeans Oil ,2002,18.10%
Soybeans Oil ,2003,22.10%
Soybeans Oil ,2004,18.00%
Soybeans Oil ,2005,-16.00%
Soybeans Oil ,2006,11.20%
Soybeans Oil ,2007,45.00%
Soybeans Oil ,2008,41.80%
Soybeans Oil ,2009,-30.60%
Soybeans Oil ,2010,17.50%
Soybeans Oil ,2011,31.50%
Soybeans Oil ,2012,-5.30%
Soybeans Oil ,2013,-12.20%
Soybeans Oil ,2014,-19.60%
Soybeans Oil ,2015,-17.30%
Soybeans Oil ,2016,7.30%
Orange ,1980,0.00%
Orange ,1981,1.40%
Orange ,1982,-5.20%
Orange ,1983,-3.00%
Orange ,1984,-5.60%
Orange ,1985,13.10%
Orange ,1986,-1.20%
Orange ,1987,15.80%
Orange ,1988,-0.60%
Orange ,1989,-1.80%
Orange ,1990,19.20%
Orange ,1991,-1.90%
Orange ,1992,-6.10%
Orange ,1993,-11.60%
Orange ,1994,-4.90%
Orange ,1995,29.20%
Orange ,1996,-7.50%
Orange ,1997,-6.70%
Orange ,1998,-3.60%
Orange ,1999,-0.90%
Orange ,2000,-17.10%
Orange ,2001,64.00%
Orange ,2002,-5.20%
Orange ,2003,21.00%
Orange ,2004,25.60%
Orange ,2005,2.00%
Orange ,2006,-5.20%
Orange ,2007,15.40%
Orange ,2008,15.70%
Orange ,2009,-17.90%
Orange ,2010,13.70%
Orange ,2011,-13.80%
Orange ,2012,-2.60%
Orange ,2013,11.40%
Orange ,2014,-19.10%
Orange ,2015,-13.70%
Orange ,2016,31.70%
Rapeseed Oil ,1980,0.00%
Rapeseed Oil ,1981,-15.30%
Rapeseed Oil ,1982,-13.70%
Rapeseed Oil ,1983,19.80%
Rapeseed Oil ,1984,37.20%
Rapeseed Oil ,1985,-21.40%
Rapeseed Oil ,1986,-33.60%
Rapeseed Oil ,1987,-3.40%
Rapeseed Oil ,1988,54.90%
Rapeseed Oil ,1989,-11.40%
Rapeseed Oil ,1990,-10.10%
Rapeseed Oil ,1991,-2.80%
Rapeseed Oil ,1992,-2.70%
Rapeseed Oil ,1993,13.80%
Rapeseed Oil ,1994,34.80%
Rapeseed Oil ,1995,1.80%
Rapeseed Oil ,1996,-11.00%
Rapeseed Oil ,1997,0.00%
Rapeseed Oil ,1998,12.00%
Rapeseed Oil ,1999,-32.00%
Rapeseed Oil ,2000,-19.20%
Rapeseed Oil ,2001,13.20%
Rapeseed Oil ,2002,22.30%
Rapeseed Oil ,2003,26.00%
Rapeseed Oil ,2004,18.20%
Rapeseed Oil ,2005,1.10%
Rapeseed Oil ,2006,18.10%
Rapeseed Oil ,2007,18.90%
Rapeseed Oil ,2008,40.70%
Rapeseed Oil ,2009,-39.90%
Rapeseed Oil ,2010,18.20%
Rapeseed Oil ,2011,35.10%
Rapeseed Oil ,2012,-9.30%
Rapeseed Oil ,2013,-12.70%
Rapeseed Oil ,2014,-16.40%
Rapeseed Oil ,2015,-14.30%
Rapeseed Oil ,2016,6.10%
Hard Sawnwood,1980,0.00%
Hard Sawnwood,1981,-11.80%
Hard Sawnwood,1982,-12.60%
Hard Sawnwood,1983,-10.50%
Hard Sawnwood,1984,24.20%
Hard Sawnwood,1985,-27.40%
Hard Sawnwood,1986,18.30%
Hard Sawnwood,1987,72.10%
Hard Sawnwood,1988,-0.20%
Hard Sawnwood,1989,26.00%
Hard Sawnwood,1990,10.60%
Hard Sawnwood,1991,1.50%
Hard Sawnwood,1992,15.70%
Hard Sawnwood,1993,24.90%
Hard Sawnwood,1994,8.30%
Hard Sawnwood,1995,-9.90%
Hard Sawnwood,1996,0.10%
Hard Sawnwood,1997,-10.60%
Hard Sawnwood,1998,-26.90%
Hard Sawnwood,1999,24.20%
Hard Sawnwood,2000,-0.30%
Hard Sawnwood,2001,-18.50%
Hard Sawnwood,2002,5.90%
Hard Sawnwood,2003,6.30%
Hard Sawnwood,2004,5.80%
Hard Sawnwood,2005,13.40%
Hard Sawnwood,2006,13.60%
Hard Sawnwood,2007,7.60%
Hard Sawnwood,2008,10.30%
Hard Sawnwood,2009,-9.40%
Hard Sawnwood,2010,5.30%
Hard Sawnwood,2011,10.70%
Hard Sawnwood,2012,-6.70%
Hard Sawnwood,2013,-2.70%
Hard Sawnwood,2014,5.30%
Hard Sawnwood,2015,-7.20%
Hard Sawnwood,2016,-11.30%
"Wool, Coarse ",1980,0.00%
"Wool, Coarse ",1981,-8.90%
"Wool, Coarse ",1982,-12.40%
"Wool, Coarse ",1983,-6.60%
"Wool, Coarse ",1984,-1.50%
"Wool, Coarse ",1985,-4.50%
"Wool, Coarse ",1986,8.10%
"Wool, Coarse ",1987,25.10%
"Wool, Coarse ",1988,14.60%
"Wool, Coarse ",1989,-9.80%
"Wool, Coarse ",1990,-18.60%
"Wool, Coarse ",1991,-23.50%
"Wool, Coarse ",1992,3.70%
"Wool, Coarse ",1993,-6.30%
"Wool, Coarse ",1994,25.00%
"Wool, Coarse ",1995,24.40%
"Wool, Coarse ",1996,-13.70%
"Wool, Coarse ",1997,3.20%
"Wool, Coarse ",1998,-24.00%
"Wool, Coarse ",1999,-17.80%
"Wool, Coarse ",2000,1.60%
"Wool, Coarse ",2001,18.30%
"Wool, Coarse ",2002,70.20%
"Wool, Coarse ",2003,16.50%
"Wool, Coarse ",2004,-16.10%
"Wool, Coarse ",2005,-4.10%
"Wool, Coarse ",2006,1.90%
"Wool, Coarse ",2007,41.50%
"Wool, Coarse ",2008,-7.30%
"Wool, Coarse ",2009,-13.80%
"Wool, Coarse ",2010,34.10%
"Wool, Coarse ",2011,46.50%
"Wool, Coarse ",2012,0.60%
"Wool, Coarse ",2013,-7.60%
"Wool, Coarse ",2014,-7.40%
"Wool, Coarse ",2015,-10.30%
"Wool, Coarse ",2016,9.50%
Bananas ,1980,0.00%
Bananas ,1981,7.00%
Bananas ,1982,-6.60%
Bananas ,1983,14.40%
Bananas ,1984,-13.80%
Bananas ,1985,2.30%
Bananas ,1986,1.00%
Bananas ,1987,3.00%
Bananas ,1988,21.60%
Bananas ,1989,14.40%
Bananas ,1990,-1.10%
Bananas ,1991,3.40%
Bananas ,1992,-15.40%
Bananas ,1993,-6.40%
Bananas ,1994,-0.70%
Bananas ,1995,1.20%
Bananas ,1996,5.50%
Bananas ,1997,11.30%
Bananas ,1998,-5.80%
Bananas ,1999,-24.00%
Bananas ,2000,12.90%
Bananas ,2001,38.50%
Bananas ,2002,-9.80%
Bananas ,2003,-28.90%
Bananas ,2004,39.90%
Bananas ,2005,9.90%
Bananas ,2006,18.40%
Bananas ,2007,-0.90%
Bananas ,2008,24.60%
Bananas ,2009,0.50%
Bananas ,2010,3.90%
Bananas ,2011,10.70%
Bananas ,2012,0.90%
Bananas ,2013,-5.90%
Bananas ,2014,0.60%
Bananas ,2015,2.90%
Bananas ,2016,4.60%
"Wool, Fine ",1980,0.00%
"Wool, Fine ",1981,2.60%
"Wool, Fine ",1982,-6.50%
"Wool, Fine ",1983,-5.70%
"Wool, Fine ",1984,3.50%
"Wool, Fine ",1985,-11.40%
"Wool, Fine ",1986,-6.00%
"Wool, Fine ",1987,53.20%
"Wool, Fine ",1988,63.30%
"Wool, Fine ",1989,-20.50%
"Wool, Fine ",1990,-12.80%
"Wool, Fine ",1991,-31.20%
"Wool, Fine ",1992,-10.40%
"Wool, Fine ",1993,-22.80%
"Wool, Fine ",1994,60.90%
"Wool, Fine ",1995,4.00%
"Wool, Fine ",1996,-16.00%
"Wool, Fine ",1997,16.60%
"Wool, Fine ",1998,-27.20%
"Wool, Fine ",1999,12.00%
"Wool, Fine ",2000,18.50%
"Wool, Fine ",2001,-15.00%
"Wool, Fine ",2002,3.40%
"Wool, Fine ",2003,8.90%
"Wool, Fine ",2004,1.60%
"Wool, Fine ",2005,-5.00%
"Wool, Fine ",2006,5.60%
"Wool, Fine ",2007,35.90%
"Wool, Fine ",2008,-0.50%
"Wool, Fine ",2009,-19.60%
"Wool, Fine ",2010,31.40%
"Wool, Fine ",2011,60.10%
"Wool, Fine ",2012,-17.90%
"Wool, Fine ",2013,-11.00%
"Wool, Fine ",2014,-10.30%
"Wool, Fine ",2015,-6.40%
"Wool, Fine ",2016,10.60%
Sunflower Oil ,1980,0.00%
Sunflower Oil ,1981,1.00%
Sunflower Oil ,1982,-17.30%
Sunflower Oil ,1983,5.60%
Sunflower Oil ,1984,37.30%
Sunflower Oil ,1985,-13.20%
Sunflower Oil ,1986,-20.70%
Sunflower Oil ,1987,-2.90%
Sunflower Oil ,1988,32.20%
Sunflower Oil ,1989,1.90%
Sunflower Oil ,1990,-0.40%
Sunflower Oil ,1991,-2.70%
Sunflower Oil ,1992,-4.20%
Sunflower Oil ,1993,21.30%
Sunflower Oil ,1994,6.10%
Sunflower Oil ,1995,-12.70%
Sunflower Oil ,1996,-11.30%
Sunflower Oil ,1997,-0.60%
Sunflower Oil ,1998,19.50%
Sunflower Oil ,1999,-29.90%
Sunflower Oil ,2000,-18.70%
Sunflower Oil ,2001,15.00%
Sunflower Oil ,2002,38.90%
Sunflower Oil ,2003,7.30%
Sunflower Oil ,2004,13.00%
Sunflower Oil ,2005,55.80%
Sunflower Oil ,2006,-37.70%
Sunflower Oil ,2007,-5.60%
Sunflower Oil ,2008,151.70%
Sunflower Oil ,2009,-38.50%
Sunflower Oil ,2010,13.90%
Sunflower Oil ,2011,36.70%
Sunflower Oil ,2012,-8.20%
Sunflower Oil ,2013,-10.00%
Sunflower Oil ,2014,-19.40%
Sunflower Oil ,2015,-5.40%
Sunflower Oil ,2016,-1.20%
Fish Meal ,1980,0.00%
Fish Meal ,1981,-7.30%
Fish Meal ,1982,-24.30%
Fish Meal ,1983,27.90%
Fish Meal ,1984,-17.50%
Fish Meal ,1985,-26.90%
Fish Meal ,1986,5.20%
Fish Meal ,1987,12.30%
Fish Meal ,1988,8.70%
Fish Meal ,1989,-7.90%
Fish Meal ,1990,0.50%
Fish Meal ,1991,-19.30%
Fish Meal ,1992,-1.50%
Fish Meal ,1993,-21.90%
Fish Meal ,1994,-0.30%
Fish Meal ,1995,29.30%
Fish Meal ,1996,20.70%
Fish Meal ,1997,2.70%
Fish Meal ,1998,9.80%
Fish Meal ,1999,-38.90%
Fish Meal ,2000,4.40%
Fish Meal ,2001,17.20%
Fish Meal ,2002,21.80%
Fish Meal ,2003,0.70%
Fish Meal ,2004,6.60%
Fish Meal ,2005,7.40%
Fish Meal ,2006,44.30%
Fish Meal ,2007,10.30%
Fish Meal ,2008,-2.10%
Fish Meal ,2009,8.20%
Fish Meal ,2010,38.50%
Fish Meal ,2011,-12.60%
Fish Meal ,2012,6.90%
Fish Meal ,2013,5.30%
Fish Meal ,2014,12.30%
Fish Meal ,2015,-8.40%
Fish Meal ,2016,-19.40%
Groundnuts ,1980,0.00%
Groundnuts ,1981,1.70%
Groundnuts ,1982,-34.20%
Groundnuts ,1983,16.70%
Groundnuts ,1984,-13.30%
Groundnuts ,1985,-17.90%
Groundnuts ,1986,10.40%
Groundnuts ,1987,-30.40%
Groundnuts ,1988,7.60%
Groundnuts ,1989,23.10%
Groundnuts ,1990,35.10%
Groundnuts ,1991,0.40%
Groundnuts ,1992,-39.30%
Groundnuts ,1993,42.90%
Groundnuts ,1994,-0.70%
Groundnuts ,1995,-11.30%
Groundnuts ,1996,-0.80%
Groundnuts ,1997,7.90%
Groundnuts ,1998,-9.00%
Groundnuts ,1999,-4.10%
Groundnuts ,2000,3.00%
Groundnuts ,2001,-4.10%
Groundnuts ,2002,-13.10%
Groundnuts ,2003,30.70%
Groundnuts ,2004,6.30%
Groundnuts ,2005,-15.50%
Groundnuts ,2006,7.80%
Groundnuts ,2007,42.10%
Groundnuts ,2008,33.10%
Groundnuts ,2009,-36.60%
Groundnuts ,2010,24.60%
Groundnuts ,2011,39.10%
Groundnuts ,2012,-2.10%
Groundnuts ,2013,37.10%
Groundnuts ,2014,-7.20%
Groundnuts ,2015,-9.40%
Groundnuts ,2016,-7.60%
Cocoa,1980,0.00%
Cocoa,1981,-20.20%
Cocoa,1982,-16.10%
Cocoa,1983,21.60%
Cocoa,1984,13.10%
Cocoa,1985,-5.90%
Cocoa,1986,-8.30%
Cocoa,1987,-3.40%
Cocoa,1988,-20.70%
Cocoa,1989,-21.60%
Cocoa,1990,2.10%
Cocoa,1991,-5.90%
Cocoa,1992,-7.80%
Cocoa,1993,1.10%
Cocoa,1994,25.60%
Cocoa,1995,2.60%
Cocoa,1996,1.60%
Cocoa,1997,11.20%
Cocoa,1998,3.50%
Cocoa,1999,-32.30%
Cocoa,2000,-20.40%
Cocoa,2001,20.40%
Cocoa,2002,63.50%
Cocoa,2003,-1.50%
Cocoa,2004,-11.50%
Cocoa,2005,-0.40%
Cocoa,2006,3.00%
Cocoa,2007,23.10%
Cocoa,2008,31.40%
Cocoa,2009,12.50%
Cocoa,2010,8.10%
Cocoa,2011,-4.90%
Cocoa,2012,-20.20%
Cocoa,2013,2.60%
Cocoa,2014,25.60%
Cocoa,2015,2.40%
Cocoa,2016,-7.80%
Olive Oil ,1980,0.00%
Olive Oil ,1981,-8.80%
Olive Oil ,1982,-4.30%
Olive Oil ,1983,0.00%
Olive Oil ,1984,-0.90%
Olive Oil ,1985,4.40%
Olive Oil ,1986,8.60%
Olive Oil ,1987,8.30%
Olive Oil ,1988,0.90%
Olive Oil ,1989,6.20%
Olive Oil ,1990,31.50%
Olive Oil ,1991,-0.90%
Olive Oil ,1992,-0.20%
Olive Oil ,1993,-14.90%
Olive Oil ,1994,16.50%
Olive Oil ,1995,42.90%
Olive Oil ,1996,32.60%
Olive Oil ,1997,-29.00%
Olive Oil ,1998,-23.80%
Olive Oil ,1999,13.10%
Olive Oil ,2000,-18.40%
Olive Oil ,2001,-10.50%
Olive Oil ,2002,8.70%
Olive Oil ,2003,30.90%
Olive Oil ,2004,22.00%
Olive Oil ,2005,19.20%
Olive Oil ,2006,-0.60%
Olive Oil ,2007,-16.90%
Olive Oil ,2008,-8.60%
Olive Oil ,2009,-15.80%
Olive Oil ,2010,-9.60%
Olive Oil ,2011,-3.40%
Olive Oil ,2012,-1.40%
Olive Oil ,2013,29.00%
Olive Oil ,2014,-2.90%
Olive Oil ,2015,13.60%
Olive Oil ,2016,-7.30%
